"Stasiun","Tahun","Bulan","Jumlah Ch","Keterangan Ch","Tanggal"
"BINANGUN","1980","1","315","2","1980/1"
"BINANGUN","1980","2","123","1","1980/2"
"BINANGUN","1980","3","334","2","1980/3"
"BINANGUN","1980","4","246","1","1980/4"
"BINANGUN","1980","5","65","0","1980/5"
"BINANGUN","1980","6","18","0","1980/6"
"BINANGUN","1980","7","41","0","1980/7"
"BINANGUN","1980","8","107","1","1980/8"
"BINANGUN","1980","9","52","0","1980/9"
"BINANGUN","1980","10","347","2","1980/10"
"BINANGUN","1980","11","700","3","1980/11"
"BINANGUN","1980","12","184","1","1980/12"
"BINANGUN","1981","1","270","1","1981/1"
"BINANGUN","1981","2","195","1","1981/2"
"BINANGUN","1981","3","168","1","1981/3"
"BINANGUN","1981","4","170","1","1981/4"
"BINANGUN","1981","5","123","1","1981/5"
"BINANGUN","1981","6","448","2","1981/6"
"BINANGUN","1981","7","528","3","1981/7"
"BINANGUN","1981","8","93","0","1981/8"
"BINANGUN","1981","9","146","1","1981/9"
"BINANGUN","1981","10","145","1","1981/10"
"BINANGUN","1981","11","284","1","1981/11"
"BINANGUN","1981","12","189","1","1981/12"
"BINANGUN","1982","1","332","2","1982/1"
"BINANGUN","1982","2","99","0","1982/2"
"BINANGUN","1982","3","","3","1982/3"
"BINANGUN","1982","4","109","1","1982/4"
"BINANGUN","1982","5","6","0","1982/5"
"BINANGUN","1982","6","","3","1982/6"
"BINANGUN","1982","7","1","0","1982/7"
"BINANGUN","1982","8","","3","1982/8"
"BINANGUN","1982","9","","3","1982/9"
"BINANGUN","1982","10","","3","1982/10"
"BINANGUN","1982","11","","3","1982/11"
"BINANGUN","1982","12","185","1","1982/12"
"BINANGUN","1983","1","185","1","1983/1"
"BINANGUN","1983","2","203","1","1983/2"
"BINANGUN","1983","3","188","1","1983/3"
"BINANGUN","1983","4","176","1","1983/4"
"BINANGUN","1983","5","552","3","1983/5"
"BINANGUN","1983","6","56","0","1983/6"
"BINANGUN","1983","7","40","0","1983/7"
"BINANGUN","1983","8","","3","1983/8"
"BINANGUN","1983","9","","3","1983/9"
"BINANGUN","1983","10","314","2","1983/10"
"BINANGUN","1983","11","884","3","1983/11"
"BINANGUN","1983","12","458","2","1983/12"
"BINANGUN","1984","1","248","1","1984/1"
"BINANGUN","1984","2","","3","1984/2"
"BINANGUN","1984","3","","3","1984/3"
"BINANGUN","1984","4","","3","1984/4"
"BINANGUN","1984","5","","3","1984/5"
"BINANGUN","1984","6","176","1","1984/6"
"BINANGUN","1984","7","","3","1984/7"
"BINANGUN","1984","8","","3","1984/8"
